0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
выходить	уходить	выбывать	выбегать	выскакивать	выбираться	выбрести	вышмыгнуть	вырваться																																				
вычеркивать	вымарывать	херить	похерить																																									
вьюга	метель																																											
вязнуть	увязать	застрять	опускаться	погружаться	погрязнуть	тонуть	утопать																																					
вялый	безжизненный	бесстрастный	апатичный	инертный	дряблый	медлительный	мешкотный	неповоротливый	неподвижный	нерасторопный	сонливый	сонный	флегматический	мямля	разиня	соня	байбак																											
вянуть	блекнуть	линять	увядать	выцветать	бледнеть	отцветать	сохнуть																																					
гаганить	гагарить																																											
гадалка	гадальщик	гадаатель																																										
гадать	отгадывать	разгадывать	угадывать	ворожить																																								
гадкий	противный	отвратительный	отталкивающий	омерзительный	мерзкий	грязный	гнусный	неприятный	дрянной																																			
гадость	мерзость	пакость	скверна	гнусность	дрянь																																							
галдеть	гоготать	гомонить	кричать	шуметь																																								
галун	позумент	мишура	обшивка	нашивка																																								
гармония	созвучие	согласие	симфония	лад																																								
герой	богатырь	витязь																																										
гибель	пагуба	погибель	смерть	исчезновение																																								
гибкий	упругий	эластичный																																										
глава	главарь	главнокомандующий	главноуправляющий	вожак	вождь	коновод	начальник	предводитель	председатель	председательствующий	первоприсутствующий	президент	шеф	корифей																														
главенство	верховенство	первенство	предводительство	старшинство	владычество	господство	начальствование	гегемония	команда																																			
главенствовать	первенствовать	господствовать																																										
главный	первенствующий	первостатейный	первостепенный	перворазрядный	передовой	важнейший	выдающийся	преимущественный	преобладающий	доминирующий	капитальный	краеугольный	кардинальный	магистральный	основной	существенный	верховный	туз																										
глаз	око	буркала																																										
глубокий	бездонный																																											
глумиться	смеяться	насмехаться																																										
глупец	глупыш	дурак	дуралей	дурачок	дурень	простофиля	болван	бревно	дубина	оболтус	олух	остолоп	телепень	тупица	фалалей	фофан	межеумок	баран																										
глупость	безумие	безрассудство	бессмыслие	идиотство	недомыслие	неразумие	полоумие	скудоумие	слабоумие	тупость	ребячество																																	
глупый	безумный	безрассудный	бестолковый	безмозглый	безголовый	крепкоголовый	пустоголовый	непонятливый	тупой	несмышленый	недогадливый	неразумный	недалекий	ограниченный	простоватый	полоумный	придурковатый	слабоумный	скудоумный																									
глухой	глуховатый																																											
глядеть	взирать	глазеть	зреть	устремлять																																								
гнев	бешенство	досада	исступление	запальчивость	злоба	злость	негодование	недовольство	немилость	неудовольствие	нерасположение	несочувствие	озлобление	опала	остервенение	раздражение	свирепость	ярость																										
гневный	возмущенный	взбешенный	негодующий	недовольный	озлобленный	ожесточенный	остервенелый	раздраженный	раздосадованный	рассерженный	разъяренный	сердитый	хмурый																															
гнуса	гнусавый																																											
говорить	выражать																																											
издалека	иносказательно																																											
годный	пригодный	доброкачественный	дельный	подходящий																																								
годовщина	юбилей																																											
головоломный	замысловатый	затейливый	мудреный	сложный	трудный	тяжелый																																						
голод	голодовка	голодуха	бескор-мица	недород	аппетит																																							
голодный	алчущий																																											
голодуха	голодьба																																											
голос	глас	визг	гик	звук	крик																																							
голый	нагой																																											
гонение	преследование	притеснение	стеснение	угнетение	ограничение																																							
гонитель	притеснитель	преследователь	гроза																																									
гора	возвышенность	возвышение	взгорок	пригорок	взлобок	бугор	курган	холм	вулкан	высоты	плоскогорье	предгорье																																
гораздо	несравненно																																											
гордиться	величаться	возноситься	заноситься	зазнаваться	кичиться	надмеваться	чваниться	возомнить																																				
гордо	величественно	претенциозно	свысока	презрительно																																								
гордость	горделивость	гордыня	высокомерие	заносчивость	надменность	кичливость	претенциозность	спесь	тщеславие	чванство	самолюбие	обидчивость	амбиция	гонор	высокомыслие	высокоумие																												
гордый	горделивый	высокомерный	заносчивый	надменный	кичливый	спесивый	презрительный	пренебрежительный	обидчивый	надутый																																		
гордянка	гордячка																																											
горе	горесть	грусть	кручина	печаль	бедствие	бездолье	злополучье	напасть	неприятность	неудача																																		
гореть	пламенеть	брезжить	мерцать	сверкать	светиться	теплиться	тлеть	возгораться	заниматься																																			
город	столица	крепость																																										
горсточка	горсть																																											
гортань	горло	глотка	зев	пасть	гайло	хайло																																						
горячий	жаркий	огненный	пламенный	теплый	нагретый	накаленный	раскаленный	знойный	порывистый	пылкий	ретивый	рьяный	страстный	ярый	патетический																													
горячность	жар	огонь	пыл	прыть	брио	ажитация	азарт	аффект	волнение	страсть	пафос	эмоция	экстаз	исступление	остервенение	ревность	увлечение	упоение	пароксизм																									
господство	владычество	власть	верховенство	главенство	начальство	предводительство	первенство	превосходство	преобладание	гегемония																																		
господствовать	владычествовать	главенствовать	первенствовать	преобладать	доминировать	володеть	властвовать	державствовать	начальствовать	княжить																																		
гостеприимный	радушный																																											
гостиница	подворье	постоялый																																										
государственный	правительственный	казенный																																										
государство	империя	княжество	королевство	царство																																								
готовить	приготовлять																																											
готовиться	приготовляться	собираться	снаряжаться																																									
готовый	отделанный	оконченный																																										
грабеж	разбой	захват	хищничество	насилие																																								
грабитель	разбойник	хищник	громила	бандит	пират																																							
граница	борт	грань	край	межа	мера	предел	демаркационная																																					
граничить	касаться	соприкасаться	прилегать	примыкать																																								
грех	грехопадение	ошибка	погрешность	прегрешение	согрешение	преступление	провинность																																					
грешник	безбожник	беззаконник	нечестивец																																									
грешный	греховный	богомерзкий	богопротивный	со-грешительный																																								
гримаса	кривлянье	мина																																										
гримасничать	морщиться	кривляться	ломаться	корчить																																								
грозный	строгий	суровый	сердитый	хмурный	пасмурный	молниеносный																																						
громадный	колоссальный	непомерный	гигантский	исполинский																																								
громкий	громовой																																											
громко	громогласно	голосисто	гулко	звонко	звучно	зычно	крикливо	неистово	гласно																																			
грубый	огрубелый	дикий	мужиковатый	невоспитанный	неделикатный	некультурный	необразованный	нео																																				
грязнить	марать	мазать	пачкать	загаживать																																								
грязный	мутный	неопрятный	замараха																																									
грязь	лужа	тина																																										
гувернантка	гувернер																																											
гуляка	бражник	жуир	забулдыга	кутила	сластоежка	бонвиван	вивёр	гастроном	гурман																																			
густой	створожившийся	частый																																										
да	согласен	истинно																																										
волю	свободу																																											
давить	жать	нажимать	прижимать	сжимать	теснить	гнесть																																						
давка	теснота	толкотня	толчея																																									
давнехонько	давнешенько																																											
давнишний	давний	давешний	стародавний	былой	давнопрошедший	минувший	прежний	прошлый	исконный	извечный																																		
давно	давным-давно	давнехонько	давнешенько	издавна	сыздавна	издревле	исстари	искони																																				
далекий	дальний	отдаленный	удаленный																																									
далеко	поодаль																																											
дальновидность	догадливость	догадка	провидение	прозорливость	проникновение	проницательность	расчетливость	сметливость	смышленость	сообразительность																																		
дальновидный	догадливый	предусмотрительный	прозор-ливый	зоркий	дальнозоркий	проникновенный	проницательный	расчетливый	сметливый	смышленый	запасливый																																	
дар	гостинец	подарок	жертва	пожертвование	лепта	приношение	подношение	подачка	милостыня	благостыня																																		
дарить	даровать	жаловать	жертвовать	усердствовать	подносить	презентовать	отказать	пожертвование																																				
дарование	дар	даровитость	способность	талант	талантливость																																							
даровой	безвозмездный	безмездный	безденежный	бескорыстный	бесплатный																																							
даром	задаром	безвозмездно	безмездно	бесплатно	бескорыстно																																							
встряску	выволочку																																											
затрещину	звону																																											
трезвону	трепку																																											
двигать	ворошить	ворочать	встряхивать	качать	колебать	колыхать	тормошить	трясти	потрясать	шатать	волновать	мешать																																
двигаться	болтаться	ворошиться	ворочаться	дрожать	качаться	колебаться	колыхаться	мотаться																																				
дворец	замок	палаты	палаццо	терем	хоромы	чертог																																						
дворник	дворня																																											
дворянин	аристократ	барин	боярин	гранд	магнат	патриций;																																						
-де	дескать																																											
дебоширить	дебоширничать	дебошничать)																																										
дебри	чаща	пуща																																										
дежурный	дневальный																																											
действие	деяние	подвиг	поступок	выходка	маневр	манипуляция	махинация	операция	процедура	процесс	акт	делание	выделка	изготовление	исполнение	осуществление	реализация	производство	фабрикация																									
действительно	истинно	подлинно	взаправду	вправду	впрямь	всерьез	поистине	фактически																																				
делать	действовать	деять	совершать	творить	созидать	являть	исполнять	поступать	чинить	учинять	образовывать																																	
деление	дележ	дробление	отделение	разделение	раздел	раздвоение	разграничение	разложение	разверстка	размещение	разъединение	разобщение	расщепление	обособление	распределение	раскассирование	расторжение	расчленение																										
делец	предприниматель	воротила	аферист	гешефтмахер																																								
делить	дробить	раздроблять	раздавать	разделять	разрознивать	разъединять	разлагать	разобщать	расторгать	расчленять	размежевать																																	
дело	занятие	ремесло	мастерство	рукоделие	профессия	труд	действие	процесс	спор	суд	тяжба																																	
деловитый	деловой																																											
день	сутки	число																																										
деньги	монета	казна	капитал	касса	мелочь																																							
депо	помещение	склад	амбар																																									
деревня	село	поселок	поселение	станица	местечко	урочище	хутор																																					
дерзать	отваживаться	осмеливаться	рисковать	решаться	пробовать																																							
дерзкий	продерзкий	дерзновенный	дерзостный	развязный	бесстыдный	бесстыжий	беззастенчивый	бесцеремонный	вызывающий	грубый	задирающий	наглый	озорник																															
дерзновенный	дерзостный																																											
дерзость	продерзость	продерзание	наглость	нахальство																																								
детство	младенчество	малолетство	отрочество																																									
дешевый	грошовый	общедоступный	умеренный																																									
деятель	действователь	делатель	делец	воротила	предприниматель	исполнитель	творец	создатель	агент	старатель																																		
деятельный	деловитый	деловой	работящий	предприимчивый	энергичный	хлопотливый	неугомонный	неутомимый																																				
дикарь	азиат	вандал	варвар	необразованный	неотесанный	нецивилизованный	людоед	невежда	деревенщина																																			
диковинный	невиданный	необычайный	неслыханный	редкий	редкостный																																							
дитя	крошка	малютка	младенец	малолеток	малыш	малец	мальчик	мальчишка	девочка	мальчуга	сын	дочь	исчадие	отпрыск	отродье	плод	по-рождение	птенец	вылупок																									
дичиться	бычиться	сторониться	чуждаться	букой	бычком	волком	ежом	сентябрем	хмуро	угрюмо	исподлобья	застенчивым	необходительным	необщительным																														
длинный	долгий	продолговатый	вытянутый																																									
проформы	формы																																											
дно	низ																																											
до	предварительно																																											
добавление	прибавление	дополнение	приложение																																									
добро	доброе																																											
добровольный	доброхотный	вольный	невынужденный	необязательный	свободный	факультативный																																						
доброжелательствовать	благожелательствовать	благоволить	благоприятствовать	мирволить	покровительствовать																																							
добрый	благой	добродетельный	доблестный	добродушный	благодушный	добросердечный	гуманный	человечный	душевный	жалостливый	сердечный	отзывчивый	чувствительный	терпимый																														
добряк	добрячок																																											
поверенный	наперсник	конфидент																																										
доверие	вера	кредит	уверенность																																									
довольно	полно	изрядно	порядком	станет	достанет	хватит	кончено	аминь																																				
довольный	довольствующийся	пресыщенный	удовлетворительный	изрядный	порядочный	обильный																																						
довольствоваться	удовлетворяться	ограничиваться	обходиться	пробавляться																																								
догадка	предположение	расчет	соображение																																									
догадливость	догадка	дальновидность	сметливость	сметка	смекалка	смышленость	сообразительность																																					
догадливый	дальновидный	прозорливый	проницательный	сметливый	смышленый	сообразительный	понятливый	находчивый	изобретательный	изворотливый																																		
догадываться	додумываться	домышлять	подозревать	предчувствовать	предвидеть	предугадывать	предполагать	смекать	соображать	разгадывать	найтись	спохватиться																																
договор	уговор	условие	соглашение	сделка	стачка	контракт	конвенция	трактат	обязательство																																			
догонять	нагонять	настигать																																										
доза	доля	дача	порция	порцион	прием	рацион																																						
дозволение	допущение	позволение	разрешение	соизволение	согласие	пропуск																																						
дозволять	допускать	попускать	разрешать	терпеть	предоставлять																																							
доказательный	неоспоримый	неопровержимый	веский	основательный	убедительный	аподиктический																																						
доказательство	довод	основание	резон	силлогизм	соображение	улика	свидетельство																																					
доказывать	приводить																																											
доконать	добить	дойти	донимать	допекать																																								
документ	акт	бумага	грамота																																									
долгий	длинный	бесконечный	вековой	долгосрочный	долговременный	долговечный	долголетний	многолетний	медленный	протяжный																																		
долго	бесконечно	продолжительно	протяжно	медленно																																								
долговечность	долголетие	долгоденствие	живучесть																																									
долголетний	долгосрочный																																											
должен	вынужден	обязан	принужден	повинен																																								
должность	занятие	пост	служба																																									
дом	здание	дворец	изба	хата	хижина	землянка	лачуга	мазанка	палата	хоромы	терем	чертог	усадьба	дача	вилла																													
домашний	частный	семейный	личный	домоделанный	доморощенный	домотканный																																						
домой	восвояси																																											
донос	извет	оговор	поклеп	ябеда																																								
доносчик	доноситель	доказчик	доказатель	доводчик	изветник	оговорщик	объявитель	обличитель	сикофант	предатель																																		
доныне	доднесь	поныне	поднесь	доселе																																								
дорога	мостовая	стезя	тропа	тропинка	тротуар	просека	аллея	полотно																																				
дорогой	драгоценный	милый	ненаглядный	желанный	жемчужный																																							
доска	дощечка	пласт	пластина	пластинка	плита																																							
доставать	добывать	почерпать	приобретать	снискивать	наживать	стяжать	достигать	зарабатывать	добиваться	подцепить	выкопать	выудить	выжать	вымучить	раздобыться	разжиться	промыслить																											
достигать	добиваться	добираться	досягать	добежать	дойти	доехать																																						
достоинство	важность	авторитет	компетентность	престиж	величие	величавость	высота	благородство	заслуга	ценность	стоимость	преобладание	преимущество	предпочтение	козырь	первенство	амбиция	самоуверенность	апломб																									
достойный	доблестный	величественный	заслуженный	приличный	приличествующий	согласный	заслуживающий	подобающий																																				
доход	приход	прирост	польза	приобретение	ресурс	рента	пенсион	пенсия	стипендия	жалованье	оклад	содержание	вознаграждение																															
доходный	добычный	выгодный	прибыльный	прибыточный	оплачиваемый																																							
драгоценность	сокровище	клад	жемчужина	алмаз	перл																																							
драка	борьба	баталия	потасовка	кулачки	свалка	схватка	единоборство	поединок																																				
драться	биться	бороться	воевать	состязаться	сражаться																																							
драчун	буян	бретер	ёра	забияка	скандалист																																							
древко	рукоятка	ручка	топорище	кнутовище	помелище	метловище																																						
древлий	древний																																											
древо	дреколье																																											
дрова	валежник	хворост	дром	лом	сушь	головня	полено	лучина	щепа	лес																																		
другой	иной	видоизмененный	непохожий																																									
дружба	дружество	дружелюбие	доброжелательство	лад	согласие	панибратство	побратимство																																					
дружественный	дружеский	дружелюбный	доброжелательный	благожелательный	благоприятный	благоприязненный	приятельский	любовный	любвеобильный																																			
дружить	ладить	дружиться																																										
дручина	дручок																																											
дурной	дрянной	дрянный	гадкий	гадостный	мерзкий	омерзительный	отвратительный	отталкивающий	противный	неприятный	безнравственный	гнусный	скверный	поганый	отрицательный																													
дуться	будировать																																											
духовный	богословский	религиозный	церковный	отвлеченный	абстрактный	умозрительный	умственный	мысленный	академический	теоретический	метафизический	трансцендентный	беспредметный	невещественный	бесплотный	бестелесный	платонический	душевный	психический	психологический	воз-вышенный	горний	вышний	неземной	небесный	идеальный	моральный																	
душа	дух	сердце	грудь																																									
душегуб	-губец																																											
душеполезный	-спасительный																																											
дылка	дыль																																											
еврей	израильтянин																																											
еда	снедь	кушанье	перемена	подача	дача	доза	прием	порция	порцион	отведыванье	съедение																																	
едва	еле	насилу	едва-едва	еле-еле	только-только																																							
единица	зерно	штука	экземпляр	индивид																																								
единовластно	единолично	единодержавно	независимо	самостоятельно																																								
единоплеменник	соплеменник	соотчич	сородич	соотечественник	согражданин	земляк	односельчанин																																					
единый	единичный	единственный	единоличный																																									
ежедневный	каждодневный	вседневный	повседневный	обиходный	обыденный	будничный																																						
ежемгновенно	-минутно	-секундно																																										
если	ежели	буде	коль																																									
естественный	врожденный	природный	прирожденный	родовой	самородный	наследственный	натуральный	свойственный	безыскусственный	неприкрашенный	простой																																	
есть	кушать	вкушать	потреблять	употреблять	лакомиться	питаться	глотать	поглощать	снедать;																																			
ехать	ездить	кататься	катить	колесить	путешествовать	скакать	лететь	мчаться	нестись	гнать																																		
еще	вторично	паки																																										
жадный	алчный	ненасытный	неутолимый	обжорливый																																								
жалеть	сожалеть	скорбеть	оплакивать	соболезновать	сострадание	соболезнование	сострадание																																					
жалоба	вопль	вытье	ропот	сетование	иеремиада	апелляция																																						
жалованье	оклад	плата	содержание	вознаграждение																																								
жаловаться	взывать																																											
желание	хотение	охота	готовность	жажда	алчность	вожделение	похоть	нетерпение	зуд	влечение	порыв	позыв	аппетит	погоня	спрос	тенденция																												
желанный	желаемый	желательный	искомый																																									
жена	супруга	молодица																																										
жениться	обвенчаться																																											
подросток	девушка	отроковица	юница	девица	дама	матрона																																						
жеребенок	жеребец																																											
жестокий	безбожный	бездушный	безжалостный	беспощадный	бессердечный	бесчеловечный	бесчувственный	бесщадный	варварский	жесткий	зверский	лютый	кровожадный	мстительный	неистовый	неумолимый	нечувствительный	нещадный	свирепый	суровый	черствый	холодный																						
жестокость	безжалостность	бессердечие	бесчеловечность	зверство	изуверство	кровожадность	неистовство	озлобление																																				
жечь	сожигать																																											
животное	скотина																																											
духом	манером																																											
жизнь	существование	житье	житье-бытье	проживание	долгоденствие	долголетие	многолетие																																					
жилище	жилье	обиталище	обитель	кров	приют	жительство	местожительство	местонахождение	местопребывание	квартира	постой	гнездо	притон	чум	юрта																													
житель	обитатель	обыватель	жилец	квартирант	постоялец																																							
жить	проживать	пребывать	жительствовать	обитать	населять	ютиться	гнездиться	квартировать																																				
житье	житье-бытье																																											
забава	игра	потеха	развлечение	увеселение																																								
забавлять	веселить	увеселять	услаждать	тешить	потешать	занимать	развлекать	интересовать	играть																																			
забавляться	играть	потешаться	веселиться	развлекаться	пробавляться	рассеяться	дурачиться	ребячиться	шалить	шутить																																		
забавник	острослов	остряк	проказник	затейщик	затейник	чудак	шутник	весельчак	увеселитель																																			
забияка	драчун	задира	ёра	буян	бретер	дуэлист	скандалист	дебошир	спорщик																																			
забиячливый	воинственный	вызывающий	дерзкий	неуживчивый	беспокойный	буйный	сварливый	спорли-вый	ссорливый	драчливый																																		
заблуждаться	ошибаться	согрешить	обознаться																																									
заблуждение	ошибка	погрешность	неправильность	ложь	ересь																																							
заболевать	захворать	расхвораться	занемочь	слечь																																								
забор	городьба	изгородь	огорожа	ограда	палисад	палисадник	плетень	стена	тын	частокол																																		
забота	попечение	рачение	радение	рвение	старание	беспокойство	возня	внимание	надзор	призор	присмотр	призрение																																
заботиться	беспокоиться	радеть	ревновать	болеть																																								
заботливость	внимательность	исправность	рачительность	ревность	старательность	довольство	нега	уход	холя																																			
заботливый	внимательный	исправный	прилежный																																									
забраковать	забаллотировать	опорочить	освистать	ошикать																																								
завещание	духовная																																											
загадка	задача	шарада	ребус																																									
заграждать	загораживать	преграждать	запруживать	заставить	загромоздить	заслонить	забаррикадировать																																					
встрепку	встряску	выволочку	гонку	дерку																																								
задача	задание	загадка	урок	дилемма	проблема	теорема	поручение	командировка	миссия																																			
задирать	задевать	дразнить	трогать	затрагивать	придираться	привязываться																																						
зажигать	возжигать	поджигать	запалять	воспалять	воспламенять	закуривать	засвечивать	затапливать	затепливать																																			
зажиточный	безбедный	достаточный																																										
заклад	залог	обеспечение	гарантия																																									
заключать	выводить																																											
закон	постановление	положение	основание	начало																																								
закрывать	крыть	накрывать	покрывать	прикрывать	заволакивать																																							
залив	бухта	гавань																																										
залог	заклад	обеспечение	гарантия	порука	поручительство	ручательство	ответственность	заложник																																				
заманчивый	приманчивый	привлекательный	увлекательный	пленительный	обольстительный	соблазнительный																																						
замашка	прием	ухватка	манера	привычка	ужимка																																							
замена	вознаграждение	возмещение	выкуп	воздаяние	субститут	суррогат																																						
заменять	сменять	променять	подменять	возмещать	замещать	заступать																																						
замечание	примечание	заметка	отметка	ремарка																																								
